ID	Cited Article	normalized_id	s2_paperId	year	publicationVenue	journal	citationCount	_error
5733	https://doi.org/10.21437/SLTU.2018-14	a0a60eb316aa07798a89e07f206b2d5fd9e51d61	a0a60eb316aa07798a89e07f206b2d5fd9e51d61	2018	Workshop on Spoken Language Technologies for Under-resourced Languages		49	
5580	https://doi.org/10.1109/IALP.2018.8629262	842a4f8486dd47d4ee16f76706900b57e44e349e	842a4f8486dd47d4ee16f76706900b57e44e349e	2018	International Conference on Asian Language Processing	2018 International Conference on Asian Language Processing (IALP)	84	
5639	https://doi.org/10.1109/IALP.2017.8300625	41fa0c318410aa8ee86cd7cf58c9d369fdef3251	41fa0c318410aa8ee86cd7cf58c9d369fdef3251	2017	International Conference on Asian Language Processing	2017 International Conference on Asian Language Processing (IALP)	109	
a5585	https://doi.org/10.18653/v1/2022.emnlp-main.465	DOI:10.18653/v1/2022.emnlp-main.465						no_entry
5640	https://doi.org/10.18653/v1/2020.emnlp-main.700	e960a8684e33906582b94a53932138d3d502671b	e960a8684e33906582b94a53932138d3d502671b	2020	Conference on Empirical Methods in Natural Language Processing		70	
5626	https://doi.org/10.48550/arXiv.2210.13778	4b14fb1ae60ceeaec9ccbf2c03475d324de507b2	4b14fb1ae60ceeaec9ccbf2c03475d324de507b2	2022	Conference on Empirical Methods in Natural Language Processing		11	
5702	https://doi.org/10.1609/aaai.v36i10.21320	127ffc8697630a76b1b4149c24d1350f69205f41	127ffc8697630a76b1b4149c24d1350f69205f41	2021	AAAI Conference on Artificial Intelligence		164	
5596	https://doi.org/10.48550/arXiv.2305.14288	91b2b47cabd800ef658b65bfe1f52b7293a740c3	91b2b47cabd800ef658b65bfe1f52b7293a740c3	2023	Conference on Empirical Methods in Natural Language Processing	ArXiv	87	
5520	https://doi.org/10.48550/arXiv.2402.08638	64c8edfd8db83a893eaf0e2d137acb23eb698fd3	64c8edfd8db83a893eaf0e2d137acb23eb698fd3	2024	Annual Meeting of the Association for Computational Linguistics		43	
5564	https://doi.org/10.48550/arXiv.2310.04928	3f421c7defc20c21e97abad5fa92887a06ec5df8	3f421c7defc20c21e97abad5fa92887a06ec5df8	2023	Conference on Empirical Methods in Natural Language Processing		54	
