language	year	invented_count	used_count
Swedish	2020	5	2
Swedish	2021	2	8
Swedish	2022	2	5
Swedish	2023	3	13
Swedish	2024	0	6
Swedish	2025	1	2
Swiss German	1994	1	0
Swiss German	2000	1	0
Swiss German	2002	1	0
Swiss German	2009	1	0
Swiss German	2010	2	2
Swiss German	2012	3	0
Swiss German	2013	1	0
Swiss German	2014	2	1
Swiss German	2015	3	1
Swiss German	2016	0	1
Swiss German	2017	0	1
Swiss German	2018	3	1
Swiss German	2019	4	4
Swiss German	2020	5	8
Swiss German	2021	1	3
Swiss German	2022	0	4
Swiss German	2023	1	3
Swiss German	2024	0	3
Swiss German	2025	0	1
Sylheti	2019	1	0
Sylheti	2020	0	1
Sylheti	2025	1	1
Tagalog	2006	1	0
Tagalog	2009	0	1
Tagalog	2011	1	0
Tagalog	2016	2	0
Tagalog	2018	1	1
Tagalog	2019	2	1
Tagalog	2020	1	2
Tagalog	2021	1	0
Tagalog	2022	0	4
Tagalog	2023	2	2
Tagalog	2024	0	2
Tagalog	2025	0	1
Tamil	1970	1	0
Tamil	1990	1	0
Tamil	2002	1	0
Tamil	2009	3	1
Tamil	2010	2	0
Tamil	2012	2	1
Tamil	2013	1	0
Tamil	2014	0	2
Tamil	2015	2	0
Tamil	2016	5	0
Tamil	2017	2	0
Tamil	2018	2	0
Tamil	2019	6	2
Tamil	2020	15	7
Tamil	2021	9	22
Tamil	2022	6	11
Tamil	2023	4	9
Tamil	2024	1	8
Tamil	2025	0	10
Tatar	2014	1	0
Tatar	2019	1	1
Tatar	2021	2	1
Tatar	2023	1	2
Tatar	2024	1	2
Tatar	2025	0	1
Telugu	2006	2	0
Telugu	2007	0	1
Telugu	2010	1	0
Telugu	2013	1	0
Telugu	2014	1	0
Telugu	2016	5	0
Telugu	2017	3	1
Telugu	2018	6	2
Telugu	2019	3	1
Telugu	2020	0	5
Telugu	2021	3	0
Telugu	2022	2	4
Telugu	2023	4	5
Telugu	2024	0	12
Telugu	2025	0	3
Thai	1996	1	0
Thai	1997	1	0
Thai	1999	1	0
Thai	2002	1	1
Thai	2003	1	1
Thai	2004	1	1
Thai	2009	4	1
Thai	2010	2	0
Thai	2011	0	2
Thai	2012	1	0
Thai	2013	1	0
Thai	2015	3	3
Thai	2016	4	0
Thai	2017	3	2
Thai	2018	5	3
Thai	2019	8	2
Thai	2020	6	4
Thai	2021	5	13
Thai	2022	2	10
Thai	2023	4	12
Thai	2024	2	12
Thai	2025	1	8
Tigrigna	2016	1	0
Tigrigna	2018	1	0
Tigrigna	2020	0	2
Tiv	2021	0	1
Tunisian Arabic	2002	1	0
Tunisian Arabic	2005	0	1
Tunisian Arabic	2007	1	0
Tunisian Arabic	2009	1	0
Tunisian Arabic	2012	1	0
Tunisian Arabic	2013	4	0
Tunisian Arabic	2014	1	2
Tunisian Arabic	2015	2	3
Tunisian Arabic	2016	1	0
Tunisian Arabic	2017	1	3
Tunisian Arabic	2018	0	1
Tunisian Arabic	2019	0	2
Tunisian Arabic	2020	3	0
Tunisian Arabic	2021	1	1
Tunisian Arabic	2022	1	2
Tunisian Arabic	2023	0	6
Tunisian Arabic	2024	0	1
Turkish	1995	1	0
Turkish	1996	1	0
Turkish	1998	1	0
Turkish	1999	3	0
Turkish	2000	1	0
Turkish	2001	1	0
Turkish	2003	5	0
Turkish	2004	3	0
Turkish	2006	3	0
Turkish	2007	2	0
Turkish	2008	4	1
Turkish	2009	2	2
Turkish	2010	3	0
Turkish	2011	6	1
Turkish	2012	11	4
Turkish	2013	10	2
Turkish	2014	13	4
Turkish	2015	8	1
Turkish	2016	16	7
Turkish	2017	16	10
Turkish	2018	15	9
Turkish	2019	21	26
Turkish	2020	17	23
Turkish	2021	14	12
Turkish	2022	10	47
Turkish	2023	6	29
Turkish	2024	1	37
Turkish	2025	1	4
Turkmen	2021	2	0
Turkmen	2023	0	1
Turkmen	2024	1	2
Ukrainian	2007	1	0
Ukrainian	2013	0	1
Ukrainian	2016	1	0
Ukrainian	2017	1	0
Ukrainian	2018	3	0
Ukrainian	2019	1	0
Ukrainian	2020	5	2
Ukrainian	2021	1	4
Ukrainian	2022	5	2
Ukrainian	2023	6	7
Ukrainian	2024	1	12
Ukrainian	2025	1	3
Urdu	1992	1	0
Urdu	1994	1	0
Urdu	1997	3	0
Urdu	1998	1	0
Urdu	1999	1	0
Urdu	2000	2	0
Urdu	2001	0	1
Urdu	2002	3	0
Urdu	2003	1	0
Urdu	2004	2	0
Urdu	2006	4	0
Urdu	2007	4	0
Urdu	2008	3	0
Urdu	2009	9	2
Urdu	2010	5	3
Urdu	2011	8	2
Urdu	2012	9	0
Urdu	2013	9	0
Urdu	2014	7	1
Urdu	2015	5	2
Urdu	2016	15	9
Urdu	2017	14	5
Urdu	2018	18	7
Urdu	2019	19	21
Urdu	2020	17	29
Urdu	2021	16	23
Urdu	2022	14	33
Urdu	2023	6	24
Urdu	2024	6	40
Urdu	2025	0	19
Uyghur	2006	1	0
Uyghur	2007	1	0
Uyghur	2010	1	0
Uyghur	2016	1	0
Uyghur	2018	1	1
Uyghur	2019	1	2
Uyghur	2021	0	2
Uyghur	2022	0	1
Uyghur	2023	0	2
Uyghur	2024	0	1
Vietnamese	1993	1	0
Vietnamese	1995	1	0
Vietnamese	1997	1	0
Vietnamese	2002	1	0
Vietnamese	2004	1	0
Vietnamese	2005	2	0
Vietnamese	2006	2	0
Vietnamese	2007	4	0
Vietnamese	2008	2	0
Vietnamese	2009	2	0
Vietnamese	2010	3	0
Vietnamese	2011	1	0
Vietnamese	2012	1	0
Vietnamese	2013	8	0
Vietnamese	2014	7	2
Vietnamese	2015	9	1
Vietnamese	2016	8	1
Vietnamese	2017	7	3
Vietnamese	2018	21	9
Vietnamese	2019	21	7
Vietnamese	2020	30	20
Vietnamese	2021	19	20
Vietnamese	2022	11	35
Vietnamese	2023	11	32
Vietnamese	2024	7	52
Vietnamese	2025	0	13
Western Punjabi	2004	1	0
Western Punjabi	2019	1	0
Western Punjabi	2025	0	2
Wolof	2014	1	0
Wolof	2015	1	0
Wolof	2020	0	1
Wolof	2022	1	1
Wolof	2023	0	1
Xhosa	2014	2	0
Xhosa	2018	0	2
Yoruba	1998	1	0
Yoruba	2012	2	0
Yoruba	2017	1	0
Yoruba	2018	1	0
Yoruba	2019	1	0
Yoruba	2020	3	3
Yoruba	2021	2	0
Yoruba	2022	1	3
Yoruba	2023	0	4
Yoruba	2024	0	4
Yoruba	2025	0	1
Yue Chinese	1964	1	0
Yue Chinese	1969	1	0
Yue Chinese	2000	1	0
Yue Chinese	2001	1	0
Yue Chinese	2007	2	1
Yue Chinese	2008	1	0
Yue Chinese	2009	1	0
Yue Chinese	2012	1	0
Yue Chinese	2013	2	0
Yue Chinese	2015	3	0
Yue Chinese	2017	0	1
Yue Chinese	2018	2	1
Yue Chinese	2019	3	2
Yue Chinese	2020	2	8
Yue Chinese	2021	2	2
Yue Chinese	2022	1	11
Yue Chinese	2023	1	3
Yue Chinese	2024	1	2
Yue Chinese	2025	0	2
Zarma	2024	1	1
Zulu	2017	1	0
Zulu	2018	1	0
Zulu	2021	0	1
Zulu	2022	0	1
