Year,Catalog_ID,Title,Author(s),LDC Catalog No.,ISBN,ISLRN,DOI,Release Date,Member Year(s),DCMI Type(s),Sample Type,Sample Rate,Data Source(s),Project(s),Application(s),Language(s),Language ID(s),License(s),Online Documentation,Licensing Instructions,Citation,URL
2025,LDC2025T04,DEFT Spanish Light and Rich ERE Annotation,"Song Chen, Justin Mott, Stephanie Strassel",LDC2025T04,,080-565-110-210-3,https://doi.org/10.35111/spa00-888,"April 15, 2025",2025,Text,,,"discussion forum, newswire",DEFT,information extraction,Spanish,spa,LDC User Agreement for Non-Members,LDC2025T04 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, Justin Mott, and Stephanie Strassel. DEFT Spanish Light and Rich ERE Annotation LDC2025T04. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T04
2025,LDC2025L01,Iraqi Arabic - English Lexical Database,"Mohamed Maamouri, David Graff",LDC2025L01,,362-004-101-706-6,https://doi.org/10.35111/7fr9-g791,"January 15, 2025",2025,Text,,,dictionaries,DOE/IRS2008-0256,"language teaching, machine translation, part of speech tagging, pronunciation modeling","Mesopotamian Arabic, English","acm, eng",Iraqi Arabic - English Lexical Database Agreement,LDC2025L01 Documents,"Subscription & Standard Members, and Non-Members","Maamouri, Mohamed, and David Graff. Iraqi Arabic - English Lexical Database LDC2025L01. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025L01
2025,LDC2025S05,"IWSLT 2022-2023 Shared Task Training, Development and Test Set","Michael Arrigo, Dana Delgado, Stephanie Strassel, David Graff",LDC2025S05,,259-142-542-173-8,https://doi.org/10.35111/h29h-2f84,"June 16, 2025",2025,"Sound, Text",PCM,8000,telephone conversations,NIST SRE,"cross-lingual information retrieval, information retrieval, machine translation, speaker identification","English, Tunisian Arabic","eng, aeb",LDC User Agreement for Non-Members,LDC2025S05 Documents,"Subscription & Standard Members, and Non-Members","Arrigo, Michael, et al. IWSLT 2022-2023 Shared Task Training, Development and Test Set LDC2025S05. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S05
2025,LDC2025T11,KAIROS Phase 1 Quizlet,"Song Chen, Ann Bies, Justin Mott, Christopher Caruso, Jennifer Tracey, Stephanie Strassel",LDC2025T11,,357-044-554-407-1,https://doi.org/10.35111/rcba-vb61,"August 15, 2025",2025,"Image, MovingImage, Software, Sound, StillImage, Text",,,web collection,KAIROS,"entity extraction, event detection, information extraction, knowledge representation","English, Spanish","eng, spa",LDC User Agreement for Non-Members,LDC2025T11 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, et al. KAIROS Phase 1 Quizlet LDC2025T11. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T11
2025,LDC2025T15,KAIROS Phase 2 Quizlet,"Song Chen, Ann Bies, Christopher Caruso, Jennifer Tracey, Stephanie Strassel",LDC2025T15,,655-957-812-959-9,https://doi.org/10.35111/n6td-nn51,"October 15, 2025",2025,"Image, MovingImage, Software, Sound, StillImage, Text",,,web collection,KAIROS,"entity extraction, event detection, information extraction, knowledge representation","Spanish, English","spa, eng",LDC User Agreement for Non-Members,LDC2025T15 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, et al. KAIROS Phase 2 Quizlet LDC2025T15. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T15
2025,LDC2025T07,KAIROS Schema Learning Complex Event Annotation,"Song Chen, Jennifer Tracey, Ann Bies, Christopher Caruso, Stephanie Strassel",LDC2025T07,,547-554-339-324-6,https://doi.org/10.35111/g7sc-nt96,"June 16, 2025",2025,"Image, MovingImage, Software, Sound, StillImage, Text",,,web collection,KAIROS,"entity extraction, information extraction","Spanish, English","spa, eng",LDC User Agreement for Non-Members,LDC2025T07 Documents,"Subscription & Standard Members, and Non-Members","Chen, Song, et al. KAIROS Schema Learning Complex Event Annotation LDC2025T07. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T07
2025,LDC2025T08,LoReHLT Uzbek Representative Language Pack,"Jennifer Tracey, Stephanie Strassel, David Graff, Jonathan Wright, Song Chen, Neville Ryant, Seth Kulick, Dana Delgado, Michael Arrigo",LDC2025T08,,370-274-581-227-7,https://doi.org/10.35111/t5qx-jc85,"July 15, 2025",2025,"Software, Sound, Text","flac, mp4","16000, 44100","broadcast news, discussion forum, newsgroups, newswire, web collection, weblogs","BOLT, LORELEI","cross-language transfer, entity extraction, information extraction, machine translation","English, Uzbek","eng, uzb",LDC User Agreement for Non-Members,LDC2025T08 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. LoReHLT Uzbek Representative Language Pack LDC2025T08. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T08
2025,LDC2025T12,LORELEI Hindi Representative Language Pack,"Jennifer Tracey, Stephanie Strassel, David Graff, Jonathan Wright, Song Chen, Neville Ryant, Seth Kulick, Kira Griffitt, Dana Delgado, Michael Arrigo",LDC2025T12,,805-696-962-662-5,https://doi.org/10.35111/97rn-tj26,"September 15, 2025",2025,"Software, Text",,,"discussion forum, newswire, web collection, weblogs",LORELEI,"cross-language transfer, entity extraction, information extraction, machine translation","Hindi, English","hin, eng",LDC User Agreement for Non-Members,LDC2025T12 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. LORELEI Hindi Representative Language Pack LDC2025T12. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T12
2025,LDC2025T01,LORELEI Hungarian Representative Language Pack,"Jennifer Tracey, Stephanie Strassel, David Graff, Jonathan Wright, Song Chen, Neville Ryant, Seth Kulick, Kira Griffitt, Dana Delgado, Michael Arrigo",LDC2025T01,,081-777-192-058-6,https://doi.org/10.35111/8bfb-pj11,"January 15, 2025",2025,"Software, Text",,,"discussion forum, newswire, web collection, weblogs",LORELEI,"cross-language transfer, entity extraction, information extraction, machine translation","Hungarian, English","hun, eng",LDC User Agreement for Non-Members,LDC2025T01 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. LORELEI Hungarian Representative Language Pack LDC2025T01. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T01
2025,LDC2025S01,MATERIAL Georgian-English Language Pack,"Sandro Asatiani, Aric Bills, Rachael Brunckhorst, Sarra Chouder, Cassian Corey, Eyal Dubinski, Corinna Ellis, Paul Gibby, Tamar Kalkhitashvili, Michael Kazi, Audrey Tong, Julie Lam, Hanh Le, Nicolas Malyska, Giorgia Marcucci, Sarah Marvi, Sara McConnell, Jennifer Melot, Alyssa Mensch, Michelle Morrison, Shelley Paget, Frederick Richardson, Annette Roberts, Carl Rubino, Lela Samushia",LDC2025S01,,518-912-923-506-5,https://doi.org/10.35111/a8jn-8696,"February 17, 2025",2025,"Sound, Text",alaw,8000,telephone conversations,,"information retrieval, speech recognition","Georgian, English","kat, eng",MATERIAL Georgian-English Agreement (For-Profit)MATERIAL Georgian-English Agreement (Non-Member)MATERIAL Georgian-English Agreement (Not-For-Profit),LDC2025S01 Documents,"Subscription & Standard Members, and Non-Members","Asatiani, Sandro, et al. MATERIAL Georgian-English Language Pack LDC2025S01. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S01
